경쟁사ID,경쟁사명,상품명,카테고리,가격,평점,리뷰수,판매량,비교분석_우위항목,우리상품ID,가격비교,날짜
C001,쿠팡,프리미엄 수납장,수납,65000,4.8,2145,5234,품질,P001,약 5000원 저가,2026-06-01
C002,GS샵,극세사 침구세트,침구,42000,4.6,1856,4123,가격,P002,약 2000원 고가,2026-06-02
C003,롯데홈쇼핑,스탠드 선반,수납,55000,4.5,890,1234,배송,P003,약 36000원 저가,2026-06-03
C004,11번가,방수 러그,바닥용품,95000,4.4,1023,2156,반품정책,P004,약 5000원 고가,2026-06-01
C005,쿠팡,LED 스탠드,조명,32000,4.7,3456,6789,밝기,P005,약 4000원 고가,2026-06-02
C006,옥션,린넨 쿠션세트,인테리어,35000,4.3,567,890,색상,P006,약 2000원 고가,2026-06-03
C007,쿠팡,원목 식탁,가구,320000,4.6,456,234,아프터서비스,P007,약 20000원 저가,2026-06-01
C008,GS샵,베개 세트,침구,24900,4.5,1200,1890,통풍성,P008,약 2000원 고가,2026-06-02
C009,네이버,스탠드 거울,욕실용품,42000,4.4,745,1123,내구성,P009,약 2000원 저가,2026-06-03
C010,쿠팡,방음 커튼,커튼,58000,4.5,892,1567,방음효과,P010,약 3000원 저가,2026-06-01
