상품ID,상품명,카테고리,원가,정가,특가,할인율,특가기간_시작,특가기간_종료,재고,판매채널
P001,프리미엄 3단 선반,수납,45000,89000,59900,32.7%,2026-06-01,2026-06-30,245,홈앤쇼핑
P002,극세사 침구류 세트,침구,28000,65000,39900,38.6%,2026-06-01,2026-06-15,512,홈앤쇼핑
P003,스탠드형 옷걸이,수납,12000,29000,18900,34.8%,2026-06-05,2026-06-20,380,홈앤쇼핑
P004,방수 러그 200X250,바닥용품,55000,129000,89900,30.3%,2026-06-01,2026-07-10,89,홈앤쇼핑
P005,LED 스탠드,조명,18000,45000,27900,38.0%,2026-06-08,2026-06-25,156,홈앤쇼핑
P006,린넨 쿠션 5개세트,인테리어,22000,52000,32900,36.7%,2026-06-02,2026-06-28,267,홈앤쇼핑
P007,원목 식탁,가구,180000,450000,299900,33.3%,2026-06-01,2026-07-31,18,홈앤쇼핑
P008,베개 3개 세트,침구,15000,38000,22900,39.7%,2026-06-10,2026-06-30,423,홈앤쇼핑
P009,스탠드 거울,욕실용품,25000,62000,39900,35.6%,2026-06-03,2026-06-25,156,홈앤쇼핑
P010,방음 단열 커튼,커튼,35000,85000,54900,35.4%,2026-06-05,2026-07-05,234,홈앤쇼핑
